WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Diyas Z.,Zidansek T.,83,91,928,865,6,2,7,5,,,2,0,Completed,2,1.8,1.96,1.93,2.06,1.93,1.99,1.82
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Williams V.,Flipkens K.,81,90,958,878,7,5,6,2,,,2,0,Completed,1.3,3.5,1.32,3.7,1.34,3.75,1.3,3.52
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Garcia C.,Hercog P.,43,51,1520,1335,7,6,6,3,,,2,0,Completed,1.53,2.5,1.51,2.74,1.56,2.84,1.5,2.58
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Marino R.,Birrell K.,317,739,185,35,6,0,7,6,,,2,0,Completed,1.22,4.33,1.26,4.29,1.32,4.41,1.23,4.09
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Osaka N.,Pavlyuchenkova A.,3,39,5965,1630,6,1,6,2,,,2,0,Completed,1.16,5,1.2,5.2,1.24,5.37,1.18,4.77
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Giorgi C.,Shvedova Y.,79,1337,970,3,6,3,6,3,,,2,0,Completed,1.12,6,1.12,7.42,1.14,7.5,1.11,6.58
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Stojanovic N.,Begu I.,99,74,779,1014,6,3,6,4,,,2,0,Completed,4,1.25,3.75,1.31,4.14,1.31,3.83,1.26
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Errani S.,Wang Q.,134,34,584,1735,2,6,6,4,6,4,2,1,Completed,3,1.4,2.83,1.48,3.1,1.49,2.86,1.42
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Williams S.,Siegemund L.,11,49,4265,1356,6,1,6,1,,,2,0,Completed,1.12,6,1.16,6.11,1.16,7.9,1.12,6.12
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Pera B.,Kerber A.,66,25,1105,2370,6,0,6,4,,,2,0,Completed,3.2,1.36,3.03,1.43,3.39,1.43,3.11,1.36
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Swiatek I.,Rus A.,17,77,3014,971,6,1,6,3,,,2,0,Completed,1.22,4.33,1.23,4.64,1.24,4.85,1.21,4.47
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Schmiedlova A.,Hibi M.,129,176,595,408,7,6,6,4,,,2,0,Completed,1.44,2.75,1.53,2.66,1.53,3.27,1.45,2.75
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Babos T.,Bonaventure Y.,114,123,660,632,7,6,6,4,,,2,0,Completed,1.61,2.3,1.66,2.35,1.66,2.45,1.61,2.33
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Kasatkina D.,Boulter K.,75,315,1010,186,6,1,6,4,,,2,0,Completed,1.25,3.75,1.33,3.54,1.38,4.3,1.28,3.58
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Tomljanovic A.,Doi M.,72,87,1035,896,6,2,6,1,,,2,0,Completed,1.33,3.4,1.39,3.23,1.39,3.6,1.33,3.29
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Jabeur O.,Petkovic A.,30,103,1915,760,6,3,3,6,6,4,2,1,Completed,1.28,3.75,1.21,4.95,1.3,4.95,1.22,4.26
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Vondrousova M.,Peterson R.,20,55,2722,1255,2,6,7,5,7,5,2,1,Completed,1.4,3,1.42,3.09,1.43,3.4,1.4,2.96
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Hsieh S.W.,Pironkova T.,71,125,1035,615,7,5,6,2,,,2,0,Completed,3.75,1.28,3.86,1.3,3.92,1.33,3.63,1.28
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Ferro F.,Siniakova K.,46,62,1497,1135,6,7,6,2,6,4,2,1,Completed,2.1,1.72,2.17,1.76,2.22,1.83,2.1,1.73
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Kudermetova V.,Kostyuk M.,36,78,1680,971,6,2,7,6,,,2,0,Completed,1.72,2.1,1.84,2.06,1.87,2.19,1.76,2.06
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Andreescu B.,Buzarnescu M.,9,138,4555,558,6,2,4,6,6,3,2,1,Completed,1.25,4,1.22,4.71,1.29,4.71,1.24,4.03
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Potapova A.,Riske A.,101,26,771,2256,6,2,6,1,,,2,0,Completed,1.57,2.37,1.55,2.6,1.63,2.6,1.57,2.41
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Gracheva V.,Blinkova A.,97,63,816,1114,6,1,3,6,7,6,2,1,Completed,1.8,2,1.94,1.94,2,2,1.88,1.92
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Cornet A.,Savinykh V.,54,228,1290,287,6,2,4,6,7,6,2,1,Completed,1.08,8,1.09,9.19,1.09,10.75,1.07,8.11
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Kvitova P.,Minnen G.,8,110,4571,696,6,3,6,4,,,2,0,Completed,1.16,5,1.18,5.52,1.18,7.13,1.14,5.81
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Halep S.,Cabrera L.,2,140,7255,544,6,2,6,1,,,2,0,Completed,1.05,11,1.06,11.98,1.06,13,1.05,10.62
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Cirstea S.,Tig P.M.,68,56,1079,1229,6,2,6,1,,,2,0,Completed,1.44,2.75,1.48,2.84,1.49,2.92,1.45,2.75
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Rybakina E.,Zvonareva V.,21,145,2718,523,4,6,6,4,6,4,2,1,Completed,1.57,2.37,1.61,2.46,1.61,2.8,1.52,2.52
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Sabalenka A.,Kuzmova V.,7,100,4580,775,6,0,6,4,,,2,0,Completed,1.05,11,1.06,11.15,1.07,15,1.05,10.62
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Bencic B.,Davis L.,12,80,4010,967,6,3,4,6,6,1,2,1,Completed,1.36,3.2,1.4,3.18,1.4,3.27,1.36,3.11
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Hibino N.,Sharma A.,76,132,973,589,2,6,6,3,7,5,2,1,Completed,2,1.8,2.09,1.82,2.1,2,2,1.82
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Samsonova L.,Badosa P.,130,70,593,1044,6,7,7,6,7,5,2,1,Completed,1.72,2.1,1.66,2.35,1.77,2.38,1.67,2.21
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Mertens E.,Fernandez L.A.,16,86,3060,904,6,1,6,3,,,2,0,Completed,1.2,4.5,1.19,5.27,1.25,5.75,1.18,4.77
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Li A.,Zhang S.,69,35,1059,1693,6,2,6,0,,,2,0,Completed,1.4,3,1.42,3.09,1.45,3.44,1.39,2.98
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Muguruza G.,Gasparyan M.,14,127,3320,601,6,4,6,0,,,2,0,Completed,1.04,13,1.05,12.47,1.06,14.36,1.04,11.56
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Podoroska N.,Mchale C.,45,84,1497,909,6,4,6,4,,,2,0,Completed,1.28,3.75,1.28,3.99,1.3,4.66,1.26,3.89
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Kenin S.,Inglis M.,4,133,5760,586,7,5,6,4,,,2,0,Completed,1.05,11,1.06,11.94,1.06,15,1.05,10.85
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Kanepi K.,Sevastova A.,65,53,1108,1317,6,3,6,1,,,2,0,Completed,1.25,4,1.31,3.8,1.35,4.4,1.28,3.68
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Pegula J.,Azarenka V.,61,13,1138,3525,7,5,6,4,,,2,0,Completed,3.4,1.33,3.37,1.36,3.58,1.4,3.32,1.33
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Zhu L.,Osuigwe W.,94,163,830,447,6,1,6,1,,,2,0,Completed,1.61,2.3,1.61,2.45,1.65,2.65,1.55,2.44
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Svitolina E.,Bouzkova M.,5,50,5260,1344,6,3,7,6,,,2,0,Completed,1.4,3,1.45,2.95,1.45,3.33,1.4,2.97
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Kuznetsova S.,Strycova B.,37,38,1631,1630,6,2,6,2,,,2,0,Completed,1.57,2.37,1.65,2.37,1.68,2.6,1.58,2.39
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Watson H.,Pliskova Kr.,60,73,1176,1020,7,6,7,6,,,2,0,Completed,1.9,1.9,1.93,1.95,1.96,2,1.91,1.89
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Brady J.,Bolsova A.,24,102,2475,761,6,1,6,3,,,2,0,Completed,1.1,7,1.11,7.7,1.11,7.75,1.1,7.08
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Brengle M.,Rodionova Ar.,85,169,906,428,6,1,6,2,,,2,0,Completed,1.2,4.5,1.25,4.39,1.27,4.73,1.23,4.22
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Mladenovic K.,Sakkari M.,52,23,1335,2570,6,2,0,6,6,3,2,1,Completed,5.5,1.14,6.83,1.13,7.04,1.18,5.93,1.13
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Alexandrova E.,Trevisan M.,32,89,1900,879,6,3,6,4,,,2,0,Completed,1.1,7,1.13,6.93,1.13,7.9,1.1,6.82
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Gauff C.,Teichmann J.,48,58,1423,1206,6,3,6,2,,,2,0,Completed,1.44,2.75,1.42,3.09,1.48,3.09,1.43,2.83
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Vekic D.,Wang Y.,33,98,1880,795,4,6,6,3,6,4,2,1,Completed,1.36,3.2,1.42,3.09,1.47,3.22,1.39,3
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Sherif M.,Paquet C.,131,187,591,359,7,5,7,5,,,2,0,Completed,1.36,3.2,1.36,3.38,1.38,3.46,1.34,3.3
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Krejcikova B.,Zheng S.,59,44,1183,1510,6,3,2,6,6,2,2,1,Completed,1.57,2.37,1.59,2.49,1.64,2.63,1.57,2.41
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Muchova K.,Ostapenko J.,27,47,2135,1485,7,5,6,2,,,2,0,Completed,1.57,2.37,1.57,2.54,1.66,2.55,1.56,2.43
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Kontaveit A.,Sasnovich A.,22,92,2575,838,7,5,6,2,,,2,0,Completed,1.3,3.5,1.37,3.36,1.39,3.5,1.33,3.29
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Pliskova Ka.,Paolini J.,6,95,5205,826,6,0,6,2,,,2,0,Completed,1.11,6.5,1.14,6.42,1.14,8,1.12,6.34
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Barthel M.,Cocciaretto E.,212,126,313,608,3,6,6,4,6,4,2,1,Completed,2.75,1.44,2.78,1.5,3.1,1.5,2.76,1.45
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Collins D.,Bogdan A.,40,96,1574,820,6,3,6,1,,,2,0,Completed,1.3,3.5,1.34,3.53,1.34,4.04,1.31,3.47
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Putintseva Y.,Stephens S.,28,41,2015,1573,4,6,6,2,6,3,2,1,Completed,1.25,4,1.25,4.33,1.31,4.9,1.23,4.16
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Stosur S.,Aiava D.,112,203,667,329,6,4,6,4,,,2,0,Completed,2.5,1.53,2.48,1.6,2.55,1.62,2.42,1.56
5,Melbourne,Australian Open,09/02/2021,Grand Slam,Outdoor,Hard,1st Round,3,Van Uytvanck A.,Burel C.,67,237,1095,279,4,6,6,3,6,4,2,1,Completed,1.66,2.2,1.68,2.31,1.83,2.32,1.69,2.18
