WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Osorio M.,Li A.,70,66,866,909,1,6,6,3,6,1,2,1,Completed,1.8,2,1.71,2.25,1.86,2.25,1.75,2.09
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Garcia C.,Rakhimova K.,17,90,2220,676,6,2,6,4,,,2,0,Completed,1.16,5,1.14,6.49,1.21,6.49,1.14,5.72
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kudermetova V.,Vekic D.,18,84,2206,715,7,5,6,3,,,2,0,Completed,1.28,3.75,1.3,3.85,1.32,3.9,1.28,3.67
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Riske A.,Yu E.,29,763,1525,35,6,2,6,4,,,2,0,Completed,1.03,15,1.03,16.52,1.03,18,1.02,14.42
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Sakkari M.,Maria T.,3,85,4190,711,6,4,3,6,6,0,2,1,Completed,1.2,4.5,1.2,5.02,1.24,5.4,1.2,4.62
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kalinskaya A.,Peterson R.,60,92,948,661,6,4,6,3,,,2,0,Completed,1.44,2.75,1.47,2.86,1.5,3,1.44,2.8
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Andreescu B.,Tan H.,48,112,1082,573,6,0,3,6,6,1,2,1,Completed,1.16,5,1.17,5.81,1.19,6,1.15,5.41
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Mandlik E.,Zidansek T.,144,81,437,744,5,7,7,6,6,4,2,1,Completed,1.4,3,1.48,2.83,1.57,3.2,1.43,2.85
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Snigur D.,Halep S.,124,7,503,3255,6,2,0,6,6,4,2,1,Completed,10,1.06,11,1.07,11.5,1.08,10.12,1.05
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Gauff C.,Jeanjean L.,12,149,2687,430,6,2,6,3,,,2,0,Completed,1.07,9,1.06,11.51,1.07,13,1.05,10.06
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Zanevska M.,Vandeweghe C.,97,121,650,513,6,1,7,5,,,2,0,Completed,2.5,1.53,2.57,1.56,2.7,1.58,2.53,1.52
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Galfi D.,Parrizas Diaz N.,91,62,676,942,6,4,6,3,,,2,0,Completed,3,1.4,2.88,1.47,3,1.51,2.82,1.44
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Haddad Maia B.,Konjuh A.,15,117,2317,528,6,0,6,0,,,2,0,Completed,1.1,7,1.14,6.63,1.16,7,1.12,6.25
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Giorgi C.,Bondar A.,67,55,894,1042,4,6,6,3,6,1,2,1,Completed,1.25,4,1.24,4.56,1.28,4.56,1.24,4.1
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Dart H.,Kasatkina D.,88,9,685,3015,7,6,1,6,6,3,2,1,Completed,5.5,1.14,6.14,1.15,6.25,1.18,5.65,1.14
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Wang Xiy.,Parry D.,75,74,842,849,5,7,6,3,6,3,2,1,Completed,1.8,2,1.71,2.24,1.83,2.24,1.74,2.11
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Keys M.,Yastremska D.,20,86,2128,707,7,6,6,3,,,2,0,Completed,1.12,6,1.16,6.11,1.16,6.5,1.13,5.99
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Jabeur O.,Brengle M.,5,61,3920,944,7,5,6,2,,,2,0,Completed,1.12,6,1.16,6.07,1.18,6.75,1.14,5.87
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Rodina E.,Trevisan M.,139,27,400,1771,7,5,6,1,,,2,0,Completed,9,1.07,9.01,1.09,10.37,1.09,8.91,1.07
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Marino R.,Frech M.,106,103,603,616,6,2,6,3,,,2,0,Completed,1.66,2.2,1.7,2.26,1.75,2.3,1.68,2.19
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Ruse E.G.,Saville D.,101,58,626,997,3,6,6,2,6,4,2,1,Completed,4.5,1.2,4.26,1.26,4.8,1.25,4.34,1.22
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Zhang S.,Teichmann J.,36,30,1360,1517,6,4,6,2,,,2,0,Completed,1.9,1.9,2.04,1.86,2.05,1.94,1.95,1.86
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Tomljanovic A.,Muchova K.,46,235,1100,287,6,3,7,6,,,2,0,Completed,1.61,2.3,1.64,2.38,1.67,2.45,1.62,2.3
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Rogers S.,Rus A.,31,95,1516,652,3,6,6,3,6,4,2,1,Completed,1.16,5,1.16,6.02,1.21,6.5,1.15,5.41
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Krejcikova B.,Contreras Gomez F.,23,200,2003,323,6,0,6,4,,,2,0,Completed,1.12,6,1.16,6.12,1.17,6.5,1.14,5.76
43,New York,US Open,29/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kontaveit A.,Cristian J.,2,77,4360,788,6,3,6,0,,,2,0,Completed,1.1,7,1.11,8,1.13,8.5,1.1,7.32
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Schmiedlova A.,Podoroska N.,115,212,543,313,6,3,6,2,,,2,0,Completed,2.75,1.44,2.58,1.56,2.77,1.56,2.58,1.51
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Krunic A.,Avanesyan E.,96,138,652,450,6,4,6,4,,,2,0,Completed,1.61,2.3,1.6,2.47,1.67,2.55,1.57,2.38
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Williams S.,Kovinic D.,605,80,61,749,6,3,6,3,,,2,0,Completed,1.28,3.75,1.37,3.35,1.37,3.75,1.32,3.42
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Samsonova L.,Bejlek S.,35,209,1407,316,6,3,6,1,,,2,0,Completed,1.12,6,1.13,7.05,1.17,7.05,1.12,6.25
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kuzmova V.,Sorribes Tormo S.,183,49,352,1081,6,3,6,4,,,2,0,Completed,3.5,1.3,3.47,1.35,3.75,1.35,3.44,1.31
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Fernandez L.A.,Dodin O.,14,98,2540,643,6,3,6,4,,,2,0,Completed,1.16,5,1.22,4.81,1.23,5.06,1.19,4.71
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Cirstea S.,Siegemund L.,37,182,1330,356,6,4,6,4,,,2,0,Completed,1.36,3.2,1.39,3.22,1.42,3.22,1.4,2.98
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Kanepi K.,Martincova T.,34,71,1433,855,7,6,6,3,,,2,0,Completed,1.44,2.75,1.5,2.75,1.55,2.85,1.46,2.72
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Muguruza G.,Tauson C.,10,57,2886,1018,6,3,7,6,,,2,0,Completed,1.9,1.9,1.96,1.93,1.97,2,1.91,1.9
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Sabalenka A.,Harrison Ca.,6,243,3470,265,6,1,6,3,,,2,0,Completed,1.08,8,1.09,9.23,1.18,9.5,1.08,8.04
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Pliskova Ka.,Linette M.,22,73,2007,850,6,2,4,6,7,6,2,1,Completed,1.44,2.75,1.57,2.55,1.57,2.85,1.49,2.61
43,New York,US Open,30/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Pegula J.,Golubic V.,8,89,3201,677,6,2,6,2,,,2,0,Completed,1.12,6,1.13,6.92,1.16,6.92,1.13,5.89
