ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Townsend T.,Gracheva V.,132,40,551,1196,6,4,6,2,,,2,0,Completed,1.73,2.1,1.7,2.26,1.76,2.39,1.68,2.21,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Frech M.,Navarro E.,77,57,828,981,7,6,1,6,6,2,2,1,Completed,2.5,1.53,2.71,1.52,2.83,1.57,2.64,1.49,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Bencic B.,Rakhimova K.,13,72,2605,846,6,2,6,4,,,2,0,Completed,1.13,6,1.14,6.66,1.16,7,1.13,6.01,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Schmiedlova A.,Baindl K.,64,83,907,800,6,4,3,6,6,3,2,1,Completed,2.1,1.73,2.17,1.76,2.2,1.78,2.13,1.73,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Muchova K.,Hunter S.,10,158,2995,461,6,4,6,0,,,2,0,Completed,1.07,9,1.09,9.24,1.11,10.2,1.07,8.36,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Azarenka V.,Ferro F.,18,190,2235,375,6,1,6,2,,,2,0,Completed,1.08,8,1.13,7.22,1.13,8.81,1.1,7.28,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Saville D.,Ngounoue C.,322,494,192,99,6,0,6,2,,,2,0,Completed,1.44,2.75,1.5,2.78,1.54,2.9,1.45,2.78,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Masarova R.,Sakkari M.,71,8,862,3585,6,4,6,4,,,2,0,Completed,4,1.25,4.17,1.27,4.33,1.29,3.95,1.25,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Swiatek I.,Peterson R.,1,86,9955,766,6,0,6,1,,,2,0,Completed,1.03,17,1.02,20.47,1.06,27.64,1.02,16.33,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Davis L.,Kovinic D.,50,94,1064,737,6,2,6,2,,,2,0,Completed,1.4,3,1.44,3.01,1.46,3.1,1.42,2.9,,,,
42,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,3,Haddad Maia B.,Stephens S.,19,36,2220,1325,6,2,5,7,6,4,2,1,Completed,1.73,2.1,1.77,2.16,1.82,2.2,1.73,2.12,,,,
